,index,Method,$\widehat{\beta}$
475,1,active (partial+cons_cv),0.8686868686868687
476,2,active (shifted),0.8787878787878789
477,3,active (full),0.8686868686868687
478,4,sample everything,0.888888888888889
479,5,oblivious (partial),0.8585858585858587
480,0,active (partial),0.8787878787878789
481,1,active (partial+cons_cv),0.8787878787878789
482,2,active (shifted),0.888888888888889
483,3,active (full),0.8787878787878789
484,4,sample everything,0.8989898989898991
485,5,oblivious (partial),0.888888888888889
486,0,active (partial),0.8686868686868687
487,1,active (partial+cons_cv),0.8585858585858587
488,2,active (shifted),0.8686868686868687
489,3,active (full),0.8686868686868687
490,4,sample everything,0.8787878787878789
491,5,oblivious (partial),0.8383838383838385
492,0,active (partial),0.8787878787878789
493,1,active (partial+cons_cv),0.8686868686868687
494,2,active (shifted),0.8787878787878789
495,3,active (full),0.8787878787878789
496,4,sample everything,0.8989898989898991
497,5,oblivious (partial),0.8585858585858587
498,0,active (partial),0.888888888888889
499,1,active (partial+cons_cv),0.8686868686868687
500,2,active (shifted),0.888888888888889
501,3,active (full),0.8787878787878789
502,4,sample everything,0.888888888888889
503,5,oblivious (partial),0.8787878787878789
504,0,active (partial),0.8787878787878789
505,1,active (partial+cons_cv),0.888888888888889
506,2,active (shifted),0.888888888888889
507,3,active (full),0.8787878787878789
508,4,sample everything,0.9090909090909092
509,5,oblivious (partial),0.8585858585858587
510,0,active (partial),0.8686868686868687
511,1,active (partial+cons_cv),0.8686868686868687
512,2,active (shifted),0.8686868686868687
513,3,active (full),0.8686868686868687
514,4,sample everything,0.8787878787878789
515,5,oblivious (partial),0.8484848484848485
516,0,active (partial),0.8585858585858587
517,1,active (partial+cons_cv),0.8686868686868687
518,2,active (shifted),0.8686868686868687
519,3,active (full),0.8585858585858587
520,4,sample everything,0.888888888888889
521,5,oblivious (partial),0.8686868686868687
522,0,active (partial),0.8585858585858587
523,1,active (partial+cons_cv),0.8585858585858587
524,2,active (shifted),0.8686868686868687
525,3,active (full),0.8585858585858587
526,4,sample everything,0.888888888888889
527,5,oblivious (partial),0.8585858585858587
528,0,active (partial),0.8686868686868687
529,1,active (partial+cons_cv),0.8686868686868687
530,2,active (shifted),0.8686868686868687
531,3,active (full),0.8585858585858587
532,4,sample everything,0.9090909090909092
533,5,oblivious (partial),0.8484848484848485
534,0,active (partial),0.8484848484848485
535,1,active (partial+cons_cv),0.8484848484848485
536,2,active (shifted),0.8585858585858587
537,3,active (full),0.8484848484848485
538,4,sample everything,0.888888888888889
539,5,oblivious (partial),0.8585858585858587
540,0,active (partial),0.8787878787878789
541,1,active (partial+cons_cv),0.8787878787878789
542,2,active (shifted),0.888888888888889
543,3,active (full),0.8686868686868687
544,4,sample everything,0.9090909090909092
545,5,oblivious (partial),0.888888888888889
546,0,active (partial),0.8686868686868687
547,1,active (partial+cons_cv),0.8585858585858587
548,2,active (shifted),0.8080808080808082
549,3,active (full),0.8686868686868687
550,4,sample everything,0.8080808080808082
551,5,oblivious (partial),0.8686868686868687
552,0,active (partial),0.8686868686868687
553,1,active (partial+cons_cv),0.8787878787878789
554,2,active (shifted),0.8787878787878789
555,3,active (full),0.8585858585858587
556,4,sample everything,0.9090909090909092
557,5,oblivious (partial),0.8585858585858587
558,0,active (partial),0.8484848484848485
559,1,active (partial+cons_cv),0.8383838383838385
560,2,active (shifted),0.8585858585858587
561,3,active (full),0.8484848484848485
562,4,sample everything,0.8686868686868687
563,5,oblivious (partial),0.8787878787878789
564,0,active (partial),0.8787878787878789
565,1,active (partial+cons_cv),0.8787878787878789
566,2,active (shifted),0.8787878787878789
567,3,active (full),0.8686868686868687
568,4,sample everything,0.8989898989898991
569,5,oblivious (partial),0.8686868686868687
570,0,active (partial),0.8585858585858587
571,1,active (partial+cons_cv),0.8585858585858587
572,2,active (shifted),0.8686868686868687
573,3,active (full),0.8585858585858587
574,4,sample everything,0.8787878787878789
575,5,oblivious (partial),0.8585858585858587
576,0,active (partial),0.8686868686868687
577,1,active (partial+cons_cv),0.8585858585858587
578,2,active (shifted),0.8686868686868687
579,3,active (full),0.8686868686868687
580,4,sample everything,0.888888888888889
581,5,oblivious (partial),0.888888888888889
582,0,active (partial),0.8787878787878789
583,1,active (partial+cons_cv),0.8787878787878789
584,2,active (shifted),0.888888888888889
585,3,active (full),0.8686868686868687
586,4,sample everything,0.9090909090909092
587,5,oblivious (partial),0.888888888888889
588,0,active (partial),0.8787878787878789
589,1,active (partial+cons_cv),0.8787878787878789
590,2,active (shifted),0.8787878787878789
591,3,active (full),0.8686868686868687
592,4,sample everything,0.888888888888889
593,5,oblivious (partial),0.8383838383838385
594,0,active (partial),0.8787878787878789
595,1,active (partial+cons_cv),0.8686868686868687
596,2,active (shifted),0.8787878787878789
597,3,active (full),0.8787878787878789
